Date,Price_USD,Predicted_USD,Signal,Confidence,Timestamp
2025-12-22,4444.6,4443.65,REDUCE,DOWN (78.7%),2026-02-04 18:22:51
2025-12-23,4482.8,4480.47,REDUCE,DOWN (72.2%),2026-02-04 18:22:51
2025-12-24,4480.6,4478.27,REDUCE,DOWN (77.4%),2026-02-04 18:22:51
2025-12-25,4480.6,4470.1,REDUCE,DOWN (77.7%),2026-02-04 18:22:51
2025-12-26,4529.1,4518.48,REDUCE,DOWN (77.0%),2026-02-04 18:22:51
2025-12-29,4325.1,4320.11,HOLD,DOWN (56.1%),2026-02-04 18:22:51
2025-12-30,4370.1,4363.9,REDUCE,DOWN (78.0%),2026-02-04 18:22:51
2025-12-31,4325.6,4320.61,REDUCE,DOWN (64.4%),2026-02-04 18:22:51
2026-01-02,4314.4,4317.29,ACCUMULATE,UP (67.0%),2026-02-04 18:22:51
2026-01-05,4436.9,4434.59,HOLD,DOWN (57.3%),2026-02-04 18:22:51
2026-01-06,4482.2,4479.87,REDUCE,DOWN (60.4%),2026-02-04 18:22:51
2026-01-07,4449.3,4448.35,HOLD,DOWN (51.7%),2026-02-04 18:22:51
2026-01-08,4449.7,4448.75,HOLD,DOWN (59.9%),2026-02-04 18:22:51
2026-01-09,4490.3,4489.34,REDUCE,DOWN (78.1%),2026-02-04 18:22:51
2026-01-12,4604.3,4603.32,REDUCE,DOWN (76.9%),2026-02-04 18:22:51
2026-01-13,4589.2,4588.22,REDUCE,DOWN (87.4%),2026-02-04 18:22:51
2026-01-14,4626.3,4623.89,REDUCE,DOWN (65.8%),2026-02-04 18:22:51
2026-01-15,4616.3,4613.9,REDUCE,DOWN (62.8%),2026-02-04 18:22:51
2026-01-16,4588.4,4586.01,REDUCE,DOWN (65.3%),2026-02-04 18:22:51
2026-01-19,4588.4,4586.01,REDUCE,DOWN (80.9%),2026-02-04 18:22:51
2026-01-20,4759.6,4745.95,REDUCE,DOWN (71.0%),2026-02-04 18:22:51
2026-01-21,4831.8,4823.59,REDUCE,DOWN (75.9%),2026-02-04 18:22:51
2026-01-22,4908.8,4900.46,REDUCE,DOWN (79.9%),2026-02-04 18:22:51
2026-01-23,4976.2,4967.75,REDUCE,DOWN (79.0%),2026-02-04 18:22:51
2026-01-26,5079.7,5069.62,REDUCE,DOWN (79.9%),2026-02-04 18:22:51
2026-01-27,5079.9,5069.82,REDUCE,DOWN (80.3%),2026-02-04 18:22:51
2026-01-28,5301.6,5288.19,REDUCE,DOWN (73.8%),2026-02-04 18:22:51
2026-01-29,5318.4,5304.95,REDUCE,DOWN (71.5%),2026-02-04 18:22:51
2026-01-30,4713.9,4705.08,REDUCE,DOWN (78.0%),2026-02-04 18:22:51
2026-02-02,4622.5,4614.49,REDUCE,DOWN (66.9%),2026-02-04 18:22:51
2026-02-03,4949.1,4937.18,REDUCE,DOWN (84.3%),2026-02-04 18:22:51
2026-02-05,5075.4,5066.78,REDUCE,DOWN (82.1%),2026-02-04 19:16:22
